"Year","Month","Sector","Nationality","Level Of Study","Broad Field Of Education","Enrolments","Commencements","EnrolmentsShare","EnrolmentsGrowth","CommencementsShare","CommencementsGrowth"
"2020","Dec","_All","_All","_All","_All","882482","398958","100","0","100","0"
"2020","Dec","_All","Qatar","_All","_All","33","14","0","-48","0","-67"
"2020","Dec","_All","Indonesia","_All","_All","22119","9614","3","-2","2","-15"
"2020","Dec","_All","South Africa","_All","_All","997","465","0","0","0","-13"
"2020","Dec","_All","Korea, Republic of (South)","_All","_All","24361","12218","3","-15","3","-25"
"2020","Dec","_All","United Kingdom","_All","_All","7160","3380","1","-12","1","-25"
"2020","Dec","_All","Peru","_All","_All","1981","1147","0","-3","0","-12"
"2020","Dec","_All","French Polynesia","_All","_All","4","4","0","","0",""
"2020","Dec","_All","Bosnia and Herzegovina","_All","_All","65","32","0","-13","0","-14"
"2020","Dec","_All","Botswana","_All","_All","138","46","0","4","0","-27"
"2020","Dec","_All","Turkey","_All","_All","2837","1624","0","-3","0","-14"
"2020","Dec","_All","Austria","_All","_All","254","150","0","-39","0","-50"
"2020","Dec","_All","Uruguay","_All","_All","197","118","0","19","0","9"
"2020","Dec","_All","Slovakia","_All","_All","729","371","0","-24","0","-33"
"2020","Dec","_All","Netherlands","_All","_All","893","488","0","-38","0","-54"
"2020","Dec","_All","Cambodia","_All","_All","3402","1667","0","4","0","-6"
"2020","Dec","_All","Slovenia","_All","_All","109","45","0","-23","0","-47"
"2020","Dec","_All","Saudi Arabia","_All","_All","6541","2397","1","-10","1","-43"
"2020","Dec","_All","Monaco","_All","_All","4","4","0","-50","0","0"
"2020","Dec","_All","Malaysia","_All","_All","25568","10587","3","-17","3","-28"
"2020","Dec","_All","North Macedonia","_All","_All","350","170","0","-12","0","-25"
"2020","Dec","_All","Liberia","_All","_All","10","4","0","0","0","-50"
"2020","Dec","_All","India","_All","_All","148684","64393","17","4","16","-17"
"2020","Dec","_All","Canada","_All","_All","4524","2022","1","-4","1","-13"
"2020","Dec","_All","Nigeria","_All","_All","2363","891","0","-12","0","-17"
"2020","Dec","_All","Maldives","_All","_All","144","57","0","0","0","0"
"2020","Dec","_All","Mexico","_All","_All","3219","1725","0","-15","0","-33"
"2020","Dec","_All","Zaire","_All","_All","4","4","0","0","0","-100"
"2020","Dec","_All","Switzerland","_All","_All","883","487","0","-42","0","-52"
"2020","Dec","_All","New Caledonia","_All","_All","4","4","0","","0",""
"2020","Dec","_All","Latvia","_All","_All","86","41","0","-9","0","-23"
"2020","Dec","_All","Haiti","_All","_All","4","4","0","-33","0","-100"
"2020","Dec","_All","Benin","_All","_All","4","4","0","-50","0","-100"
"2020","Dec","_All","Afghanistan","_All","_All","34","18","0","10","0","-14"
"2020","Dec","_All","Suriname","_All","_All","9","4","0","80","0","100"
"2020","Dec","_All","Guatemala","_All","_All","81","44","0","13","0","-12"
